,Rank,Name,Net Worth,Age,Source,Country of Citizenship,Female,True Industry
0,1,Bill Gates,75.0,61.0,Microsoft,United States,0,Tech
1,2,Amancio Ortega,67.0,80.0,Zara,Spain,0,Retail & Consumer Goods
2,3,Warren Buffett,60.8,86.0,Berkshire Hathaway,United States,0,Business & Finance
3,4,Carlos Slim Helu,50.0,76.0,telecom,Mexico,0,Telecom
4,5,Jeff Bezos,45.2,52.0,Amazon.com,United States,0,Tech
5,6,Mark Zuckerberg,44.6,32.0,Facebook,United States,0,Tech
6,7,Larry Ellison,43.6,72.0,Oracle,United States,0,Tech
7,8,Michael Bloomberg,40.0,74.0,Bloomberg LP,United States,0,Business & Finance
8,9,Charles Koch,39.6,81.0,diversified,United States,0,Diversified
9,9,David Koch,39.6,76.0,diversified,United States,0,Diversified
10,11,Liliane Bettencourt,36.1,94.0,L'Oreal,France,1,Retail & Consumer Goods
11,12,Larry Page,35.2,43.0,Google,United States,0,Tech
12,13,Sergey Brin,34.4,43.0,Google,United States,0,Tech
13,14,Bernard Arnault,34.0,67.0,LVMH,France,0,Retail & Consumer Goods
14,15,Jim Walton,33.6,68.0,Wal-Mart,United States,0,Retail & Consumer Goods
15,16,Alice Walton,32.3,67.0,Wal-Mart,United States,1,Retail & Consumer Goods
16,17,S. Robson Walton,31.9,72.0,Wal-Mart,United States,0,Retail & Consumer Goods
17,18,Wang Jianlin,28.7,62.0,real estate,China,0,Real Estate & Construction
18,19,Jorge Paulo Lemann,27.8,77.0,beer,Brazil,0,Food & Beverage
19,20,Li Ka-shing,27.1,88.0,diversified,Hong Kong,0,Diversified
20,21,Beate Heister & Karl Albrecht Jr.,25.9,,supermarkets,Germany,0,Retail & Consumer Goods
21,22,Sheldon Adelson,25.2,83.0,casinos,United States,0,Gambling & Entertainment
22,23,George Soros,24.9,86.0,hedge funds,United States,0,Business & Finance
23,24,Phil Knight,24.4,78.0,Nike,United States,0,Retail & Consumer Goods
24,25,David Thomson,23.8,59.0,media,Canada,0,Gambling & Entertainment
25,26,Steve Ballmer,23.5,60.0,Microsoft,United States,0,Tech
26,27,"Forrest Mars, Jr.",23.4,85.0,candy,United States,0,Food & Beverage
27,27,Jacqueline Mars,23.4,77.0,candy,United States,1,Food & Beverage
28,27,John Mars,23.4,81.0,candy,United States,0,Food & Beverage
29,30,Maria Franca Fissolo,22.1,99.0,"Nutella, Chocolates",Italy,1,Food & Beverage
30,31,Lee Shau Kee,21.5,88.0,real estate,Hong Kong,0,Real Estate & Construction
31,32,Stefan Persson,20.8,69.0,H&M,Sweden,0,Retail & Consumer Goods
32,33,Jack Ma,20.5,52.0,e-commerce,China,0,Tech
33,34,"Theo Albrecht, Jr.",20.3,66.0,"Aldi, Trader Joe's",Germany,0,Retail & Consumer Goods
34,35,Michael Dell,19.8,51.0,Dell,United States,0,Tech
35,36,Mukesh Ambani,19.3,59.0,"petrochemicals, oil & gas",India,0,"Oil, Chemicals, Energy & Manufacturing"
36,37,Leonardo Del Vecchio,18.7,81.0,eyeglasses,Italy,0,Retail & Consumer Goods
37,38,Susanne Klatten,18.5,54.0,"BMW, pharmaceuticals",Germany,1,Auto
38,39,Georg Schaeffler,18.1,52.0,automotive,Germany,0,Auto
39,40,Paul Allen,17.5,63.0,"Microsoft, investments",United States,0,Tech
40,41,Prince Alwaleed Bin Talal Alsaud,17.3,61.0,investments,Saudi Arabia,0,Business & Finance
41,42,Joseph Safra,17.2,78.0,banking,Brazil,0,Business & Finance
42,43,Carl Icahn,17.0,80.0,investments,United States,0,Business & Finance
43,44,Laurene Powell Jobs,16.7,53.0,"Apple, Disney",United States,1,Tech
44,44,Dilip Shanghvi,16.7,61.0,pharmaceuticals,India,0,Pharma
45,46,Ma Huateng,16.6,45.0,internet services,China,0,Tech
46,47,Dieter Schwarz,16.4,77.0,retail,Germany,0,Retail & Consumer Goods
47,48,Ray Dalio,15.6,67.0,hedge funds,United States,0,Business & Finance
48,48,Stefan Quandt,15.6,50.0,BMW,Germany,0,Auto
49,50,James Simons,15.5,78.0,hedge funds,United States,0,Business & Finance
50,51,Aliko Dangote,15.4,59.0,"cement, sugar, flour",Nigeria,0,"Oil, Chemicals, Energy & Manufacturing"
51,51,Michael Otto,15.4,73.0,"retail, real estate",Germany,0,Retail & Consumer Goods
52,53,Len Blavatnik,15.3,59.0,diversified,United States,0,Diversified
53,54,Donald Bren,15.1,84.0,real estate,United States,0,Real Estate & Construction
54,55,Azim Premji,15.0,71.0,software services,India,0,Tech
55,56,Serge Dassault,14.7,91.0,aviation,France,0,"Travel, Transportation & Logistics"
56,57,Tadashi Yanai,14.6,67.0,retail,Japan,0,Retail & Consumer Goods
57,58,Cheng Yu-tung,14.5,91.0,diversified,Hong Kong,0,Diversified
58,58,Hinduja family,14.5,,Hinduja Group,United Kingdom,0,Business & Finance
59,60,Leonid Mikhelson,14.4,61.0,"gas, chemicals",Russia,0,"Oil, Chemicals, Energy & Manufacturing"
60,60,David & Simon Reuben,14.4,74.0,"investments, real estate",United Kingdom,0,Real Estate & Construction
61,62,Stefano Pessina,13.4,75.0,drugstores,Italy,0,Pharma
62,63,Mikhail Fridman,13.3,52.0,"oil, banking, telecom",Russia,0,"Oil, Chemicals, Energy & Manufacturing"
63,64,Dietrich Mateschitz,13.2,72.0,Red Bull,Austria,0,Food & Beverage
64,65,Abigail Johnson,13.1,55.0,money management,United States,1,Business & Finance
65,65,Kjeld Kirk Kristiansen,13.1,69.0,Lego,Denmark,0,Retail & Consumer Goods
66,65,Joseph Lau,13.1,65.0,real estate,Hong Kong,0,Real Estate & Construction
67,68,Gerald Cavendish Grosvenor,13.0,65.0,real estate,United Kingdom,0,Real Estate & Construction
68,68,Thomas & Raymond Kwok,13.0,,real estate,Hong Kong,0,Real Estate & Construction
69,68,Marcel Herrmann Telles,13.0,67.0,beer,Brazil,0,Food & Beverage
70,71,Henry Sy,12.9,92.0,SM Investments Corporation,Philippines,0,Business & Finance
71,72,Steve Cohen,12.7,60.0,hedge funds,United States,0,Business & Finance
72,73,Pallonji Mistry,12.5,87.0,construction,Ireland,0,Real Estate & Construction
73,73,Hans Rausing,12.5,90.0,packaging,Sweden,0,"Travel, Transportation & Logistics"
74,73,Alisher Usmanov,12.5,63.0,"steel, telecom, investments",Russia,0,"Oil, Chemicals, Energy & Manufacturing"
75,76,Charlene de Carvalho-Heineken,12.3,62.0,Heineken,Netherlands,1,Food & Beverage
