Rank	Name	Net Worth	Age	Source	Country of Citizenship
1	Bill Gates	$75 B	61	Microsoft	United States
2	Amancio Ortega	$67 B	80	Zara	Spain
3	Warren Buffett	$60.8 B	86	Berkshire Hathaway	United States
4	Carlos Slim Helu	$50 B	76	telecom	Mexico
5	Jeff Bezos	$45.2 B	52	Amazon.com	United States
6	Mark Zuckerberg	$44.6 B	32	Facebook	United States
7	Larry Ellison	$43.6 B	72	Oracle	United States
8	Michael Bloomberg	$40 B	74	Bloomberg LP	United States
9	Charles Koch	$39.6 B	81	diversified	United States
9	David Koch	$39.6 B	76	diversified	United States
11	Liliane Bettencourt	$36.1 B	94	L'Oreal	France
12	Larry Page	$35.2 B	43	Google	United States
13	Sergey Brin	$34.4 B	43	Google	United States
14	Bernard Arnault	$34 B	67	LVMH	France
15	Jim Walton	$33.6 B	68	Wal-Mart	United States
16	Alice Walton	$32.3 B	67	Wal-Mart	United States
17	S. Robson Walton	$31.9 B	72	Wal-Mart	United States
18	Wang Jianlin	$28.7 B	62	real estate	China
19	Jorge Paulo Lemann	$27.8 B	77	beer	Brazil
20	Li Ka-shing	$27.1 B	88	diversified	Hong Kong
21	Beate Heister & Karl Albrecht Jr.	$25.9 B	-	supermarkets	Germany
22	Sheldon Adelson	$25.2 B	83	casinos	United States
23	George Soros	$24.9 B	86	hedge funds	United States
24	Phil Knight	$24.4 B	78	Nike	United States
25	David Thomson	$23.8 B	59	media	Canada
26	Steve Ballmer	$23.5 B	60	Microsoft	United States
27	Forrest Mars, Jr.	$23.4 B	85	candy	United States
27	Jacqueline Mars	$23.4 B	77	candy	United States
27	John Mars	$23.4 B	81	candy	United States
30	Maria Franca Fissolo	$22.1 B	99	Nutella, Chocolates	Italy
31	Lee Shau Kee	$21.5 B	88	real estate	Hong Kong
32	Stefan Persson	$20.8 B	69	H&M	Sweden
33	Jack Ma	$20.5 B	52	e-commerce	China
34	Theo Albrecht, Jr.	$20.3 B	66	Aldi, Trader Joe's	Germany
35	Michael Dell	$19.8 B	51	Dell	United States
36	Mukesh Ambani	$19.3 B	59	petrochemicals, oil & gas	India
37	Leonardo Del Vecchio	$18.7 B	81	eyeglasses	Italy
38	Susanne Klatten	$18.5 B	54	BMW, pharmaceuticals	Germany
39	Georg Schaeffler	$18.1 B	52	automotive	Germany
40	Paul Allen	$17.5 B	63	Microsoft, investments	United States
41	Prince Alwaleed Bin Talal Alsaud	$17.3 B	61	investments	Saudi Arabia
42	Joseph Safra	$17.2 B	78	banking	Brazil
43	Carl Icahn	$17 B	80	investments	United States
44	Laurene Powell Jobs	$16.7 B	53	Apple, Disney	United States
44	Dilip Shanghvi	$16.7 B	61	pharmaceuticals	India
46	Ma Huateng	$16.6 B	45	internet services	China
47	Dieter Schwarz	$16.4 B	77	retail	Germany
48	Ray Dalio	$15.6 B	67	hedge funds	United States
48	Stefan Quandt	$15.6 B	50	BMW	Germany
50	James Simons	$15.5 B	78	hedge funds	United States
51	Aliko Dangote	$15.4 B	59	cement, sugar, flour	Nigeria
51	Michael Otto	$15.4 B	73	retail, real estate	Germany
53	Len Blavatnik	$15.3 B	59	diversified	United States
54	Donald Bren	$15.1 B	84	real estate	United States
55	Azim Premji	$15 B	71	software services	India
56	Serge Dassault	$14.7 B	91	aviation	France
57	Tadashi Yanai	$14.6 B	67	retail	Japan
58	Cheng Yu-tung	$14.5 B	91	diversified	Hong Kong
58	Hinduja family	$14.5 B	-	Hinduja Group	United Kingdom
60	Leonid Mikhelson	$14.4 B	61	gas, chemicals	Russia
60	David & Simon Reuben	$14.4 B	74	investments, real estate	United Kingdom
62	Stefano Pessina	$13.4 B	75	drugstores	Italy
63	Mikhail Fridman	$13.3 B	52	oil, banking, telecom	Russia
64	Dietrich Mateschitz	$13.2 B	72	Red Bull	Austria
65	Abigail Johnson	$13.1 B	55	money management	United States
65	Kjeld Kirk Kristiansen	$13.1 B	69	Lego	Denmark
65	Joseph Lau	$13.1 B	65	real estate	Hong Kong
68	Gerald Cavendish Grosvenor	$13 B	65	real estate	United Kingdom
68	Thomas & Raymond Kwok	$13 B	-	real estate	Hong Kong
68	Marcel Herrmann Telles	$13 B	67	beer	Brazil
71	Henry Sy	$12.9 B	92	SM Investments Corporation	Philippines
72	Steve Cohen	$12.7 B	60	hedge funds	United States
73	Pallonji Mistry	$12.5 B	87	construction	Ireland
73	Hans Rausing	$12.5 B	90	packaging	Sweden
73	Alisher Usmanov	$12.5 B	63	steel, telecom, investments	Russia
76	Charlene de Carvalho-Heineken	$12.3 B	62	Heineken	Netherlands
77	Charles Ergen	$12.2 B	63	satellite TV	United States
78	Ronald Perelman	$12.1 B	74	leveraged buyouts	United States
78	Vladimir Potanin	$12.1 B	55	metals	Russia
80	Stephen Ross	$12 B	76	real estate	United States
81	Patrick Soon-Shiong	$11.9 B	64	pharmaceuticals	United States
82	Masayoshi Son	$11.7 B	59	internet, telecom	Japan
82	Heinz Hermann Thiele	$11.7 B	75	brakes	Germany
84	Francois Pinault	$11.5 B	80	retail	France
85	David Tepper	$11.4 B	59	hedge funds	United States
85	Gennady Timchenko	$11.4 B	64	oil & gas	Russia
87	Carlos Alberto Sicupira	$11.3 B	69	beer	Brazil
88	Shiv Nadar	$11.1 B	71	software services	India
88	Thomas Peterffy	$11.1 B	72	discount brokerage	United States
90	Robin Li	$11 B	48	internet search	China
90	Alain Wertheimer	$11 B	68	Chanel	France
90	Gerard Wertheimer	$11 B	65	Chanel	France
93	Alexey Mordashov	$10.9 B	51	steel, investments	Russia
94	Elon Musk	$10.7 B	45	Tesla Motors	United States
94	Charoen Sirivadhanabhakdi	$10.7 B	72	beverages	Thailand
96	Petr Kellner	$10.6 B	52	banking, insurance	Czech Republic
96	Rupert Murdoch	$10.6 B	85	media	United States
98	Viktor Vekselberg	$10.5 B	59	metals, energy	Russia
99	Lukas Walton	$10.4 B	30	Wal-Mart	United States
100	Eric Schmidt	$10.2 B	61	Google	United States
101	Iris Fontbona	$10.1 B	74	mining	Chile
101	Massimiliana Landini Aleotti	$10.1 B	74	pharmaceuticals	Italy
103	Mike Adenuga	$10 B	63	telecom, oil	Nigeria
103	Klaus-Michael Kuehne	$10 B	79	shipping	Germany
103	Robert Kuok	$10 B	93	palm oil/shipping/real estate	Malaysia
103	Samuel Newhouse, Jr.	$10 B	89	media	United States
107	Lei Jun	$9.8 B	47	smartphones	China
108	Philip Anschutz	$9.7 B	77	investments	United States
108	Jim Kennedy	$9.7 B	69	media	United States
108	Blair Parry-Okeden	$9.7 B	66	media	United States
108	John Paulson	$9.7 B	61	hedge funds	United States
112	Lee Kun-Hee	$9.6 B	74	Samsung	South Korea
113	Hasso Plattner	$9.5 B	72	software	Germany
113	Stephen Schwarzman	$9.5 B	69	investments	United States
115	Andrew Beal	$9.4 B	64	banks, real estate	United States
116	Vladimir Lisin	$9.3 B	60	steel, transport	Russia
116	John Menard, Jr.	$9.3 B	76	retail	United States
116	Donald Newhouse	$9.3 B	87	media	United States
116	Udo & Harald Tschira	$9.3 B	-	Software	Germany
116	Galen Weston	$9.3 B	76	retail	Canada
121	German Larrea Mota Velasco	$9.2 B	63	mining	Mexico
122	He Xiangjian	$9 B	74	home appliances	China
122	Leonard Lauder	$9 B	79	Estee Lauder	United States
124	Vagit Alekperov	$8.9 B	66	oil	Russia
124	Dustin Moskovitz	$8.9 B	32	Facebook	United States
124	Luis Carlos Sarmiento	$8.9 B	83	banking	Colombia
127	Gina Rinehart	$8.8 B	62	mining	Australia
128	German Khan	$8.7 B	55	oil, banking, telecom	Russia
129	Ernesto Bertarelli	$8.6 B	51	biotech, investments	Switzerland
129	Hui Ka Yan	$8.6 B	58	real estate	China
129	Jan Koum	$8.6 B	40	WhatsApp	United States
129	Xavier Niel	$8.6 B	49	internet, telecom	France
133	John Fredriksen	$8.5 B	71	shipping	Cyprus
133	Cyrus Poonawalla	$8.5 B	75	vaccines	India
135	Gianluigi & Rafaela Aponte	$8.4 B	-	shipping	Switzerland
135	Lakshmi Mittal	$8.4 B	66	steel	India
135	Eyal Ofer	$8.4 B	66	real estate, shipping	Israel
