Rank	Name	Net Worth	Age	Source	Country of Citizenship
11	Liliane Bettencourt	$36.1 B	94	L'Oreal	France
16	Alice Walton	$32.3 B	67	Wal-Mart	United States
27	Jacqueline Mars	$23.4 B	77	candy	United States
30	Maria Franca Fissolo	$22.1 B	99	Nutella, Chocolates	Italy
38	Susanne Klatten	$18.5 B	54	BMW, pharmaceuticals	Germany
44	Laurene Powell Jobs	$16.7 B	53	Apple, Disney	United States
65	Abigail Johnson	$13.1 B	55	money management	United States
76	Charlene de Carvalho-Heineken	$12.3 B	62	Heineken	Netherlands
101	Iris Fontbona	$10.1 B	74	mining	Chile
101	Massimiliana Landini Aleotti	$10.1 B	74	pharmaceuticals	Italy
108	Blair Parry-Okeden	$9.7 B	66	media	United States
127	Gina Rinehart	$8.8 B	62	mining	Australia
171	Margarita Louis-Dreyfus	$6.8 B	54	commodities	Switzerland
178	Sandra Ortega Mera	$6.4 B	48	Zara	Spain
178	Katharine Rayner	$6.4 B	71	media	United States
178	Margaretta Taylor	$6.4 B	74	media	United States
196	Eva Gonda de Rivera	$6.1 B	-	beverages	Mexico
205	Zhou Qunfei	$5.9 B	47	smartphone screens	Hong Kong
219	Antonia Johnson	$5.7 B	73	diversified	Sweden
219	Pauline MacMillan Keinath	$5.7 B	83	Cargill	United States
233	Maria Asuncion Aramburuzabala	$5.5 B	53	beer, investments	Mexico
233	Kirsten Rausing	$5.5 B	64	packaging	Sweden
258	Chan Laiwa	$5.2 B	76	real estate	China
258	Christy Walton	$5.2 B	67	Wal-Mart	United States
262	Vivien Chen	$5.1 B	57	real estate	Hong Kong
262	Diane Hendricks	$5.1 B	69	roofing	United States
270	Tamara Gustavson	$5 B	55	self storage	United States
270	Yang Huiyan	$5 B	35	real estate	China
324	Dona Bertarelli	$4.5 B	49	biotech	Switzerland
324	Ann Walton Kroenke	$4.5 B	68	Wal-Mart	United States
324	Maria-Elisabeth Schaeffler	$4.5 B	75	auto parts	Germany
338	Renate Reimann-Haas	$4.4 B	65	consumer goods	Germany
358	Carrie Perrodo	$4.2 B	66	oil	France
